bid_id,item_id,bid_user_id,bid_price,status
87,5,10,201,NULL
94,12,10,11,NULL
130,12,10,12,NULL
131,12,10,13,NULL
132,12,10,14,NULL
133,5,10,203,NULL
134,5,10,204,NULL
139,5,10,205,NULL
140,5,10,206,NULL
141,5,10,207,NULL
142,5,10,208,NULL
143,5,10,209,NULL
144,5,10,210,NULL
145,5,10,211,NULL
146,5,10,212,NULL
147,5,10,214,NULL
148,5,10,215,NULL
149,5,10,216,NULL
150,5,10,217,NULL
151,5,10,218,NULL
152,5,10,219,NULL
153,5,10,220,NULL
154,5,10,220,NULL
155,5,10,221,NULL
156,5,10,222,NULL
157,5,10,223,NULL
158,5,10,224,NULL
159,5,10,225,NULL
160,5,10,227,NULL
161,5,10,228,NULL
162,5,10,229,NULL
163,5,10,230,NULL
164,5,10,231,NULL
165,5,10,233,NULL
166,5,10,234,NULL
167,5,10,235,NULL
168,5,10,236,NULL
169,5,10,237,NULL
170,5,10,238,NULL
171,5,10,240,NULL
172,5,10,241,NULL
173,5,10,242,NULL
174,5,10,243,NULL
175,5,10,244,NULL
176,5,10,245,NULL
177,5,10,246,NULL
178,5,10,247,NULL
179,5,10,248,NULL
180,5,10,249,NULL
181,5,10,250,NULL
182,5,10,251,NULL
183,5,10,252,NULL
184,5,10,253,NULL
185,5,10,254,NULL
186,5,10,255,NULL
187,5,10,256,NULL
206,5,10,257,NULL
207,5,10,258,NULL
208,5,10,259,NULL
209,5,10,260,NULL
216,5,10,261,NULL
217,5,10,262,NULL
218,5,10,263,NULL
219,5,3,264,NULL
220,5,3,265,NULL
228,5,10,NULL,Subscribe
229,5,10,NULL,Subscribe
230,5,10,270,NULL
242,5,10,271,NULL
271,38,10,NULL,Subscribe
272,38,10,7000001.01,NULL
273,38,10,7000001.02,NULL
274,38,10,7000001.03,NULL
275,38,10,7000002.04,NULL
276,38,10,NULL,Subscribe
277,38,10,7000003.05,NULL
278,38,3,7000004.06,NULL
279,38,3,7000005.07,NULL
280,38,3,7000006.08,NULL
281,38,3,7000008.09,NULL
282,43,3,8500001.01,NULL
283,43,3,8500002.02,NULL
284,43,3,8500003.03,NULL
285,43,3,8500004.04,NULL
286,45,3,NULL,Subscribe
287,45,3,145222247.01,NULL
288,45,3,NULL,Subscribe
289,44,10,NULL,Subscribe
290,44,10,7003001.01,NULL
291,44,10,NULL,Subscribe
292,43,3,NULL,Subscribe
293,44,3,NULL,Subscribe
294,44,10,7003002.02,NULL
295,44,3,NULL,Subscribe
296,44,10,7003003.03,NULL
297,38,10,7000009.1,NULL
